"DisplayName","DisplayVersion","Publisher","InstallDate","SizeGB","UninstallString"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20210903","0.01","MsiExec.exe /I{09FBB991-5EBC-46E7-A83C-8EAE31E53A83}"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20210903","0","MsiExec.exe /I{47D128D9-994B-4427-AF01-176823EDE7CA}"
"Intel(R) Management Engine Driver","1.0.0.0","Intel Corporation","20210903","0","MsiExec.exe /I{3057FE70-17D5-4288-A926-35565A687CB5}"
"Logitech G HUB","2026.3.880543","Logitech",,,"""C:\Program Files\LGHUB\lghub_software_manager.exe"""
"Microsoft .NET Host - 8.0.27 (x64)","64.108.52182","Microsoft Corporation","20260520","0","MsiExec.exe /X{FE436680-E3E9-4BDB-A1C9-AA9DCD76752F}"
"Microsoft .NET Host FX Resolver - 8.0.27 (x64)","64.108.52182","Microsoft Corporation","20260520","0","MsiExec.exe /X{6B3BE514-B565-442C-9BA8-28E5B162E038}"
"Microsoft .NET Runtime - 8.0.27 (x64)","64.108.52182","Microsoft Corporation","20260520","0.07","MsiExec.exe /X{F46044EA-04A3-4472-9368-2915A0C34868}"
"Microsoft 365 - en-us","16.0.20131.20126","Microsoft Corporation",,,"""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" scenario=install scenariosubtype=ARP sourcetype=None productstoremove=O365HomePremRetail.16_en-us_x-none culture=en-us version.16=16.0"
"Microsoft 365 Apps for enterprise - en-us","16.0.20131.20126","Microsoft Corporation",,,"""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" scenario=install scenariosubtype=ARP sourcetype=None productstoremove=O365ProPlusRetail.16_en-us_x-none culture=en-us version.16=16.0"
"Microsoft Edge","150.0.4078.65","Microsoft Corporation","20260327","2.64","MsiExec.exe /X{97669614-1724-3231-8E47-8E87B05517B0}"
"Microsoft Edge WebView2 Runtime","150.0.4078.65","Microsoft Corporation","20260711","2.63","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150.0.4078.65\Installer\setup.exe"" --uninstall --msedgewebview --system-level --verbose-logging"
"Microsoft OneDrive","26.108.0607.0002","Microsoft Corporation",,"0.55","""C:\Program Files\Microsoft OneDrive\26.108.0607.0002\OneDriveSetup.exe""  /uninstall  /allusers "
"Microsoft OneNote - en-us","16.0.20131.20126","Microsoft Corporation",,,"""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" scenario=install scenariosubtype=ARP sourcetype=None productstoremove=OneNoteFreeRetail.16_en-us_x-none culture=en-us version.16=16.0"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211","14.44.35211.0","Microsoft Corporation",,"0.02","""C:\ProgramData\Package Cache\{d8bbe9f9-7c5b-42c6-b715-9ee898a2e515}\VC_redist.x64.exe""  /uninstall"
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211","14.44.35211.0","Microsoft Corporation",,,"""C:\ProgramData\Package Cache\{0b5169e3-39da-4313-808e-1f9c0407f3bf}\VC_redist.x86.exe""  /uninstall"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","20260529","0","MsiExec.exe /I{86AB2CC9-08BD-4643-B0F9-F82D006D72FF}"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","20260529","0","MsiExec.exe /I{43B0D101-A022-48F4-9D04-BA404CEB1D53}"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.50.35719","14.50.35719","Microsoft Corporation","20260318","0.01","MsiExec.exe /I{773AD50D-AAE6-4BA1-AD01-B5A38874C840}"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.50.35719","14.50.35719","Microsoft Corporation","20260318","0","MsiExec.exe /I{5A0DFA55-3851-45BC-8B20-95EA4BF5812D}"
"Microsoft Visual C++ v14 Redistributable (x86) - 14.50.35719","14.50.35719.0","Microsoft Corporation",,"0.02","""C:\ProgramData\Package Cache\{0e4ccf1b-d073-4cfe-8a24-e86185719b56}\VC_redist.x86.exe""  /uninstall"
"Microsoft Visual Studio Code (User)","1.129.0","Microsoft Corporation","20260717","0.9","""C:\Users\ganno\AppData\Local\Programs\Microsoft VS Code\unins000.exe"""
"Microsoft Web Deploy 4.0","10.0.9419","Microsoft Corporation","20260318","0.02","MsiExec.exe /I{DE4FFB86-1944-4273-B040-92E920BD6861}"
"Microsoft Windows Desktop Runtime - 8.0.27 (x64)","64.108.52193","Microsoft Corporation","20260520","0.09","MsiExec.exe /X{D024132A-E9B9-4C41-BBD4-B12DA02ABE81}"
"Microsoft Windows Desktop Runtime - 8.0.27 (x64)","8.0.27.36030","Microsoft Corporation",,"0.21","""C:\ProgramData\Package Cache\{2e63a120-0290-4d41-b713-28bf4b7f0631}\windowsdesktop-runtime-8.0.27-win-x64.exe""  /uninstall"
"Mixxx","2.5.3","Mixxx Project","20260716","0.34","MsiExec.exe /I{56123FE9-0286-4AC1-8B85-E3AE87176E5B}"
"MuseFX version 1.0","1.0","Muse","20260629","0.1","""C:\Program Files\Common Files\MuseFX\unins000.exe"""
"MuseHub","2.8.1.2171","Muse Group","20260628","0.14","""C:\Program Files\MuseHub\current\MuseHub.Uninstaller.exe"""
"MuseScore Studio 4","4.7.3.260608135","MuseScore Limited","20260629","0.41","MsiExec.exe /X{5C7C1282-D3E7-4DFE-AE3D-309C492348D2}"
"Neutone FX version 1.5.1","1.5.1","Neutone, Inc.","20260716","0.26","""C:\Program Files\Neutone FX\unins000.exe"""
"Norton Update Helper","1.8.1994.6","Norton LifeLock","20260319","0","MsiExec.exe /I{469D3039-E8BB-40CB-9989-158443EEA4EB}"
"Notion 7.12.0","7.12.0","Notion Labs, Inc",,"0.33","""C:\Users\ganno\AppData\Local\Programs\Notion\Uninstall Notion.exe"" /currentuser"
"OBS Studio","32.1.2","OBS Project",,,"""C:\Program Files\obs-studio\uninstall.exe"""
"Office 16 Click-to-Run Extensibility Component","16.0.20131.20112","Microsoft Corporation","20260714","0.03","MsiExec.exe /X{90160000-008C-0000-1000-0000000FF1CE}"
"Office 16 Click-to-Run Localization Component","16.0.14026.20302","Microsoft Corporation","20210903","0","MsiExec.exe /X{90160000-008C-0409-1000-0000000FF1CE}"
"Overtune 2.1.0","2.1.0","Vibe Music",,"0.78","""C:\Users\ganno\AppData\Local\Programs\overtune-vite\Uninstall Overtune.exe"" /currentuser"
"Python 3.14.3 Add to Path (64-bit)","3.14.3150.0","Python Software Foundation","20260323","0","MsiExec.exe /I{E4E7DA49-817E-4AE7-B2F0-E3FF45B0C588}"
"Python 3.14.3 Core Interpreter (64-bit)","3.14.3150.0","Python Software Foundation","20260323","0.01","MsiExec.exe /I{4B17826C-6E7E-4E62-BD21-DAFF56FB782C}"
"Python 3.14.3 Development Libraries (64-bit)","3.14.3150.0","Python Software Foundation","20260323","0","MsiExec.exe /I{68887388-659F-4415-85CC-73371DBF8335}"
"Python 3.14.3 Documentation (64-bit)","3.14.3150.0","Python Software Foundation","20260323","0.06","MsiExec.exe /I{5FADF399-D763-4C57-B169-178909B69BF6}"
"Python 3.14.3 Executables (64-bit)","3.14.3150.0","Python Software Foundation","20260323","0","MsiExec.exe /I{B62B33AA-E1CF-411B-A28B-BB4311C38C61}"
"Python 3.14.3 pip Bootstrap (64-bit)","3.14.3150.0","Python Software Foundation","20260323","0","MsiExec.exe /I{DF00E0A2-B8F5-4B60-84CD-8392F5FB9F62}"
"Python 3.14.3 Standard Library (64-bit)","3.14.3150.0","Python Software Foundation","20260323","0.02","MsiExec.exe /I{3C6BC713-D6F7-4021-9BEC-62F6B7D4BADF}"
"Python 3.14.3 Tcl/Tk Support (64-bit)","3.14.3150.0","Python Software Foundation","20260323","0.01","MsiExec.exe /I{5CAA53DC-458E-41BE-B7FB-7E943E472E6F}"
"Python 3.14.3 Test Suite (64-bit)","3.14.3150.0","Python Software Foundation","20260323","0.04","MsiExec.exe /I{A2D2BE0A-748E-43BF-86E4-08DF2F0463E8}"
"REAPER (x64)","7.77","Cockos Incorporated",,"0.15","""C:\Program Files\REAPER (x64)\Uninstall.exe"""
"Shutter Encoder (64bit)","20.1","Paul Pacifico","20260528","0.36","""C:\Program Files\Shutter Encoder\unins000.exe"""
"ValhallaSupermassive version 5.0.0","5.0.0","Valhalla DSP, LLC","20260601","0.01","""C:\ProgramData\Valhalla DSP, LLC\ValhallaSupermassive\InstallerFiles\unins000.exe"""
"Warp","v0.2026.06.03.09.49.stable_01","Denver Technologies, Inc.","20260606","0.37","""C:\Users\ganno\AppData\Local\Programs\Warp\unins000.exe"""
"Windows PC Health Check","4.0.2410.23001","Microsoft Corporation","20260617","0.01","MsiExec.exe /X{B008D72C-0326-421E-BB2F-98BA5F9DDE9C}"
"Workflow Manager Client 1.0","2.1.10525.2","Microsoft Corporation","20260318","0","MsiExec.exe /I{69CD1F2D-DF68-4E23-9108-1B70783F2855}"
